Date,Open,High,Low,Close,Volume
2017-06-09,152.28,152.28,143.29,146.19,66026501
2017-06-12,143.01,143.36,139.84,142.69,73582357
2017-06-13,144.39,144.68,142.43,143.85,34748000
2017-06-14,144.73,144.73,141.14,142.43,32057007
2017-06-15,140.64,141.76,139.54,141.59,32267376
2017-06-16,141.09,141.78,139.53,139.6,51228196
2017-06-19,140.97,143.99,140.97,143.6,33086636
2017-06-20,144.12,144.12,142.22,142.29,25361653
2017-06-21,142.79,143.34,141.89,143.14,21672063
2017-06-22,143.04,143.96,142.4,142.9,19450784
2017-06-23,142.41,144.39,142.39,143.54,36100497
2017-06-26,144.4,145.5,142.65,143.09,26169821
2017-06-27,142.29,143.43,140.93,141.04,25203926
2017-06-28,141.77,143.38,140.48,143.1,22477472
2017-06-29,141.99,142.41,139.61,140.99,32055505
2017-06-30,141.73,142.24,141.09,141.32,23443648
2017-07-03,142.16,142.57,140.42,140.82,14550645
2017-07-05,141,142.07,140.05,141.39,21962965
2017-07-06,140.34,140.82,139.74,140.05,24571387
2017-07-07,140.22,142.03,140.22,141.48,19076750
2017-07-10,141.41,143.22,140.69,142.34,21483515
2017-07-11,142.01,143.12,141.67,142.8,20099618
2017-07-12,143.14,143.44,142.1,143.01,25338513
2017-07-13,142.77,145.71,142.71,144.99,25560699
2017-07-14,145.19,146.54,144.56,146.25,20501597
2017-07-17,146.03,148.07,145.79,146.76,24224750
2017-07-18,146.41,147.3,145.89,147.26,18191422
2017-07-19,147.65,148.59,147.13,148.19,21310198
2017-07-20,148.66,148.9,147.36,147.51,17529075
2017-07-21,147.17,147.61,146.09,147.44,25601210
2017-07-24,147.75,149.59,147.09,149.25,21879392
2017-07-25,148.96,150.96,148.96,149.87,19189797
2017-07-26,150.47,151.05,150.18,150.58,16035004
2017-07-27,150.87,151.11,144.53,147.73,33053720
2017-07-28,147.08,147.4,146.4,146.71,17524818
2017-07-31,147.09,147.5,145.35,145.95,20090477
2017-08-01,146.31,147.39,145.63,147.23,34788944
2017-08-02,156.3,156.76,153.23,154.2,71069155
2017-08-03,154.11,154.27,152.12,152.64,27133479
2017-08-04,153.14,154.45,152.76,153.46,20913130
2017-08-07,154.12,155.94,153.74,155.83,22246671
2017-08-08,155.62,158.8,155.31,157.07,36823554
2017-08-09,156.28,158.25,156.13,158.05,26562479
2017-08-10,157.52,157.62,152.33,153,40258180
2017-08-11,154.27,156.21,153.75,155.14,26633856
2017-08-14,156.95,157.83,156.38,157.47,22408906
2017-08-15,158.26,159.77,157.76,159.19,29824445
2017-08-16,159.52,160.09,157.77,158.55,28041277
2017-08-17,158.14,158.31,155.48,155.5,27912239
2017-08-18,155.5,157.12,154.39,155.16,27812671
2017-08-21,155.16,155.53,152.79,154.87,26739143
2017-08-22,155.87,157.62,155.66,157.4,21894960
2017-08-23,156.7,158.09,156.51,157.6,19671697
2017-08-24,158.05,158.34,156.19,156.9,20102734
2017-08-25,157.27,158.17,156.9,157.48,25852736
2017-08-28,157.76,159.58,157.55,159.06,26086624
2017-08-29,157.72,160.7,157.62,160.49,29903252
2017-08-30,161.36,161.45,160.19,160.92,27634738
2017-08-31,161.2,162.06,161.05,161.55,27150638
2017-09-01,162.34,162.48,161.19,161.6,16826295
2017-09-05,161.31,161.8,158.17,159.66,29951503
2017-09-06,160.29,160.57,158.14,159.49,21939147
2017-09-07,159.67,159.82,157.98,158.86,22238536
2017-09-08,158.46,158.75,156.17,156.27,28855126
2017-09-11,158.12,159.63,157.51,159.09,31993414
2017-09-12,160.19,161.51,156.4,158.46,72690124
2017-09-13,157.49,157.58,155.55,157.27,45546422
2017-09-14,156.62,157.03,155.73,155.92,23997344
2017-09-15,156.11,158.57,155.64,157.5,49587729
2017-09-18,157.73,158.12,155.64,156.31,28585192
2017-09-19,157.13,157.39,156.08,156.36,20905720
2017-09-20,155.54,155.9,151.54,153.75,52988422
2017-09-21,153.48,153.48,150.47,151.11,37934948
